NN-LABEL

NN-LABEL
NN-LABEL



NN-BF



RM-SELFCONNECTION
RN-SELFCONNECTION

RM-DEF

NM-LABEL

NM-LABEL


QARM-DEF

NM-REPEAT

NN-AFFIRMATION


RM-CALC



NM-LABEL

NM-AFFIRMATION



QARM-CALC

RM-CALC

RM-CALC

NM-REPEAT

OTHER

NM-LABEL

NM-LABEL


NN-LABEL

NM-LABEL

NM-LABEL

NM-AFFIRMATION

NM-LABEL

OTHER


OTHER

NM-LABEL


OTHER

OTHER

NM-LABEL

NM-LABEL


NM-LABEL

RM-SELFCONNECTION
