Subject ID,RM-Comparison,RM-Relational Mapping,RM-Self Connection,RM-Calculation,RM-Proportion,RM-Definition,RM-Inference,RN-Comparison,RN-Relational Mapping,RN-Self Connection,RN-Inference,RN-Definition,QARM-Comparison,QARM-Relational Mapping,QARM-Self Connection,QARM-Calculation,QARM-Proportion,QARM-Definition,QARM-Inference,QARN-Comparison,QARN-Relational Mapping,QARN-Self Connection,QARN-Inference,QARN-Definition,NM-Label,NM-BF,NM-Repeat,NM-Affirmation,NN-Label,NN-BF,NN-SE,NN-Affirmation,NN-Repeat,other,offtask
12357,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12,0,2,2,4,1,0,1,0,5,0
23151,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,2,0,0,0,5,6,0,0,0,9,0,5,0,0,13,0
